data_amount,para_amount,log_data_amount,log_para_amount,log_bs,width,data,bs,test_acc,train_acc,generalization_gap,test_loss,train_loss,CKA,hessian_e,hessian_t,mode_connectivity,mode_connectivity_peak,test_error,train_error,rfi_width,rfi_data,rfi_inc_temp,rfi_dec_temp,bs_failure,width_vs_batch,data_vs_batch
15000,11420,9.615805480084347,9.343121483210002,3.1780538303479458,2,3,24,54.76800000000001,60.413333333333334,5.645333333333326,1.3309214817810058,1.1378314504241942,0.38471710681915283,4.218748909691136,5.492535571700562,9.79,-41.39333333333333,45.23199999999999,39.586666666666666,15.271999999999998,5.23599999999999,1.814,3.697999999999986,large,width,data
10000,11420,9.210340371976184,9.343121483210002,3.1780538303479458,2,2,24,53.84599999999999,64.228,10.382000000000005,1.3983795586395265,1.0263882072639465,0.28150707483291626,4.119099622248071,5.500897864417422,-12.954999999999998,-41.23,46.15400000000001,35.772000000000006,10.232000000000014,6.158000000000008,1.7460000000000164,0.0,small,width,data
5000,11420,8.517193191416238,9.343121483210002,3.1780538303479458,2,1,24,44.676,73.136,28.459999999999994,1.9662493544006345,0.7584961302089692,0.21546456217765808,3.7510399585596295,5.523543789443503,-38.01,-58.26,55.324,26.864000000000004,17.098,15.327999999999996,0.7879999999999967,0.0,small,width,data
50000,11420,10.819778284410283,9.343121483210002,3.4657359027997265,2,10,32,59.577999999999996,61.09599999999999,1.5179999999999936,1.1833362727546692,1.1263885567893983,0.3532097637653351,4.817252543086804,5.86164027824555,7.645999999999994,-37.62,40.422000000000004,38.90400000000001,21.779999999999994,0.0,0.0,4.800000000000004,large,width,batch
45000,11420,10.714417768752456,9.343121483210002,3.4657359027997265,2,9,32,59.938,61.74355555555555,1.80555555555555,1.1731853595161437,1.1106541709391275,0.40077733993530273,4.724255717754579,5.919104180869736,6.677777777777777,-34.50888888888889,40.062,38.25644444444445,20.923999999999992,0.0,0.0,5.426000000000002,large,width,batch
40000,11420,10.596634733096073,9.343121483210002,3.4657359027997265,2,8,32,59.14,61.432500000000005,2.292500000000004,1.1931413243484497,1.1224224638175966,0.352622926235199,4.633257121257005,5.8183427229948474,-8.878749999999997,-40.0625,40.86,38.567499999999995,19.555999999999997,0.7980000000000018,0.0,4.326000000000008,large,width,batch
35000,11420,10.46310334047155,9.343121483210002,3.4657359027997265,2,7,32,58.007999999999996,60.09028571428571,2.0822857142857174,1.2850405423545836,1.2037494539042881,0.2994006276130676,4.683266401616371,5.874496900975302,7.191428571428567,-37.817142857142855,41.992000000000004,39.90971428571429,20.85600000000001,1.9300000000000068,1.533999999999999,6.079999999999998,large,width,batch
30000,11420,10.308952660644293,9.343121483210002,3.4657359027997265,2,6,32,59.46,62.238000000000014,2.778000000000013,1.1926555888366699,1.0914474265797933,0.3242129683494568,4.450165204836085,5.807830206764861,-8.456666666666663,-38.46,40.54,37.761999999999986,17.673999999999985,0.47800000000000153,0.0,3.6099999999999923,large,width,batch
25000,11420,10.126631103850338,9.343121483210002,3.4657359027997265,2,5,32,59.836,63.363200000000006,3.5272000000000077,1.1835688654136658,1.0683896905059813,0.4234001636505127,4.760232868724676,5.842830095637213,-9.654000000000003,-40.444,40.164,36.636799999999994,14.88600000000001,0.10200000000000387,0.0,0.7280000000000015,large,width,batch
20000,11420,9.903487552536127,9.343121483210002,3.4657359027997265,2,4,32,55.74400000000001,60.05,4.30599999999999,1.3163971292877197,1.1684726728630064,0.35092395544052124,4.636397884118948,5.850567551776723,6.579999999999998,-36.435,44.25599999999999,39.95,17.437999999999995,4.1939999999999955,4.259999999999991,3.92199999999999,small,width,batch
