data_amount,para_amount,log_data_amount,log_para_amount,log_bs,width,data,bs,test_acc,train_acc,generalization_gap,test_loss,train_loss,CKA,hessian_e,hessian_t,mode_connectivity,mode_connectivity_peak,test_error,train_error,rfi_width,rfi_data,rfi_inc_temp,rfi_dec_temp,bs_failure,width_vs_batch,data_vs_batch
50000,11420,10.819778284410283,9.343121483210002,3.1780538303479458,2,10,24,59.227999999999994,55.5364,-3.691599999999994,1.204840003967285,1.399513781486511,0.40136975049972534,4.364327649874175,5.503774768084017,6.003,-45.9,40.772000000000006,44.4636,17.902,0.0,0.0,2.8059999999999974,large,width,batch
45000,11420,10.714417768752456,9.343121483210002,3.1780538303479458,2,9,24,57.69199999999999,54.38088888888889,-3.311111111111103,1.2410901183700562,1.424413900642395,0.3690033555030823,4.3286560591893615,5.497704405121079,6.377777777777773,-39.55777777777778,42.30800000000001,45.61911111111111,19.328000000000017,1.5360000000000014,0.0,4.722000000000008,large,width,batch
40000,11420,10.596634733096073,9.343121483210002,3.1780538303479458,2,8,24,58.202,55.0065,-3.1954999999999956,1.2275086398696897,1.40122534450531,0.4665136933326721,4.172348555602912,5.438868624538053,7.262500000000003,-43.3475,41.798,44.9935,17.066000000000003,1.0259999999999962,0.0,2.534000000000006,large,width,batch
35000,11420,10.46310334047155,9.343121483210002,3.1780538303479458,2,7,24,58.30800000000001,55.33028571428572,-2.977714285714285,1.2218735495376587,1.3901433505957468,0.3856136202812195,4.3672619323687,5.438520256644192,7.3500000000000085,-39.02571428571429,41.69199999999999,44.66971428571428,14.07599999999998,0.9199999999999875,0.0,2.113999999999997,large,width,batch
30000,11420,10.308952660644293,9.343121483210002,3.1780538303479458,2,6,24,56.28399999999999,54.260666666666665,-2.0233333333333263,1.2659584379959106,1.4195709475962324,0.394278347492218,4.1381759035073005,5.437948784077325,8.148333333333333,-44.42666666666667,43.71600000000001,45.739333333333335,14.726000000000028,2.9440000000000026,0.0,3.9780000000000086,large,width,batch
25000,11420,10.126631103850338,9.343121483210002,3.1780538303479458,2,5,24,58.074,56.472,-1.6019999999999968,1.2224020447921753,1.3517279716262816,0.40716418623924255,4.162984520422517,5.37448659188267,7.673999999999992,-41.616,41.926,43.528,10.177999999999997,1.1539999999999964,0.0,2.1880000000000024,large,width,batch
20000,11420,9.903487552536127,9.343121483210002,3.1780538303479458,2,4,24,52.866,52.013999999999996,-0.8520000000000039,1.3858555736732483,1.4908116642761229,0.3136785924434662,4.144190416242186,5.328202345411851,7.477499999999992,-42.57,47.134,47.986000000000004,13.155999999999992,6.361999999999995,0.0,5.132000000000005,large,width,data
15000,11420,9.615805480084347,9.343121483210002,3.1780538303479458,2,3,24,53.565999999999995,54.64666666666667,1.0806666666666729,1.3576607440948487,1.3940673060798645,0.31758132576942444,4.221723886779921,5.371441043651399,9.063333333333333,-45.986666666666665,46.434000000000005,45.35333333333333,7.220000000000006,5.661999999999999,0.0,1.5100000000000051,large,width,data
10000,11420,9.210340371976184,9.343121483210002,3.1780538303479458,2,2,24,52.05800000000001,60.186,8.127999999999993,1.4046615365982056,1.2163694316482545,0.2960802912712097,3.9930386025405484,5.30182973431432,-16.099999999999994,-52.25,47.94199999999999,39.814,3.0,7.1699999999999875,0.0,0.0,optimal,width,data
5000,11420,8.517193191416238,9.343121483210002,3.1780538303479458,2,1,24,40.164,71.39200000000001,31.22800000000001,2.0450829391479495,0.8568684415054321,0.1870337575674057,3.4866970802357162,5.533449909890671,-35.01,-58.44,59.836,28.60799999999999,16.49199999999999,19.063999999999993,1.1000000000000014,0.0,small,width,data
50000,11420,10.819778284410283,9.343121483210002,3.4657359027997265,2,10,32,53.73199999999999,51.05,-2.681999999999995,1.3416505397033691,1.511433410423279,0.2798985242843628,4.472539789409432,5.6889847190248855,-6.243000000000002,-45.15,46.26800000000001,48.95,23.67000000000001,0.0,5.496000000000002,8.302,large,width,batch
